session_id,type,interval_seconds,interval_ns,clients,pop_count,has_popping
aqmdaGu4fFwL5BxMxL5SRg,webext,20.0,20000000000,0,1,1
8+HTKAioFyilbK18kCe+xw,webext,20.0,20000000000,0,0,0
n8c+JA/gN04juZHKlPF1cQ,webext,20.0,20000000000,0,0,0
upl3+RMhu/haxYMXKBTkWw,webext,20.0,20000000000,0,0,0
EohPtLZOPPhLN4NhppozUA,webext,20.0,20000000000,0,0,0
bjdbyYgoH1lWZCBt9zofGg,webext,20.0,20000000000,0,0,0
VVdoi7ES4tUrmux5eqU9hg,webext,20.0,20000000000,0,0,0
+gACcWp9Ms1DJu4nFzNiZg,webext,20.0,20000000000,0,0,0
8Nqx70B49fS05tFAwfMg1w,webext,20.0,20000000000,0,0,0
tOp60nyWpdu0evF7HQp07w,webext,20.0,20000000000,0,0,0
FRGhrbHLv/JDfC/2zqpMhg,webext,20.0,20000000000,0,0,0
qwF+bTn4uRdncpCVmCYLAw,webext,20.0,20000000000,0,0,0
bherAnBghpeWZ+80tliZAQ,webext,20.0,20000000000,0,0,0
LR/JKov1LirQLclOwB4SXA,webext,20.0,20000000000,0,0,0
nJFSq+GgDDykgr5viejsQQ,webext,20.0,20000000000,0,0,0
YZiL7skkYkGe1TNHtSZ5Kw,webext,20.0,20000000000,0,0,0
QwY/GCnSuzkwTPBssHZEMg,webext,20.0,20000000000,0,0,0
Kc2QSO1ca2CMDDYP5yuiaw,webext,20.0,20000000000,0,0,0
XV02nUXHAE1bfJnGTIX1sg,webext,20.0,20000000000,0,0,0
mEmtP87x/HpAjQSWHF9PbQ,webext,20.0,20000000000,0,0,0
JDh8E6+FJlYKYK6S16IxrQ,webext,20.0,20000000000,0,0,0
bJM4HXnAntoG1sxkFnMo2A,webext,20.0,20000000000,0,0,0
wL2P6MBrW2JM2OlYSIxMVg,webext,20.0,20000000000,0,0,0
8jC2RyoJ4yjSOcXZs28BQg,webext,20.0,20000000000,0,0,0
ttvzelSMozYf3eRWDe6kZA,webext,20.0,20000000000,0,0,0
yYue2jER5aKtGrNLR+0BbQ,webext,20.0,20000000000,0,0,0
S0/xg3MSifT9leNb19VCOA,webext,20.0,20000000000,0,0,0
dqy/nHHv80lw6/FZoJK3Pg,webext,20.0,20000000000,0,1,1
k0DLuT4s7tM3E5GV2OVBtQ,webext,20.0,20000000000,0,0,0
RB1dr4VtAOfF9pd/fV85uw,webext,20.0,20000000000,0,0,0
+fKESfzmkvXbDP9dcBO9Og,webext,20.0,20000000000,0,0,0
p9f+XhsFJfPU2p8DjbvMMg,webext,20.0,20000000000,0,0,0
mdBh5Ad5mMPIIdEsu0fj/w,webext,20.0,20000000000,0,0,0
uui2kvS+r0G+OOJjn41ZhQ,webext,20.0,20000000000,0,0,0
aptPBDP2PLiBZ3z5uaaUWA,webext,20.0,20000000000,0,0,0
HPo24KFVHH1n96njFBXgXA,webext,20.0,20000000000,0,0,0
bQVKykofhbQB96sKUqiEmQ,webext,20.0,20000000000,0,0,0
Wq8jKWtc2zCwmGJrW2P0YA,webext,20.0,20000000000,0,0,0
QWD/7S3BzC6mZGsPVyPr3A,webext,20.0,20000000000,0,0,0
ZOGe2OrfgafJYHANBFMgTw,webext,20.0,20000000000,0,0,0
ScxljEXjTkKSiOylz5YVTQ,webext,20.0,20000000000,0,0,0
BSTPudkoLdHQi+BIkmIvyA,webext,20.0,20000000000,0,0,0
FHq0hYK6Mfu8/vwEU98OFw,webext,20.0,20000000000,0,0,0
w4c+E1gldfYhKiWTazfavA,webext,20.0,20000000000,0,0,0
YT3xaPQKpwm9pJaRIj0oIA,webext,20.0,20000000000,0,0,0
CsVswa7XhsQfi0ChBDFRXg,webext,20.0,20000000000,0,0,0
lirX6+E5spELI8zL92/0Cw,webext,20.0,20000000000,0,0,0
cF8aRB+LFsq6dHGv0mEyIA,webext,20.0,20000000000,0,0,0
dcvhbm86YGzX1N3VxZenvQ,webext,20.0,20000000000,0,0,0
pqcx5IULBiFsGxy5ygX6RA,webext,20.0,20000000000,0,0,0
eqHfKEMKoXvhraqa4MD7uA,webext,20.0,20000000000,0,0,0
EvYGU4IkbCO3USq6/J8Fug,webext,20.0,20000000000,0,0,0
tezDaOBBIWICq0X/wBMW3A,webext,20.0,20000000000,0,0,0
i1hQKEARjFeLltA5fY7xlQ,webext,20.0,20000000000,0,0,0
8sl6uCBmF0uIHhVUonsCXw,webext,20.0,20000000000,0,0,0
3a23G97woZjnsG9AlL4uGw,webext,20.0,20000000000,0,0,0
4fOC5BW9wAcou5xdsPIbbw,webext,20.0,20000000000,0,0,0
rq1SK13fUD1RDGQfURe3dw,webext,20.0,20000000000,0,0,0
JqK/m9cBBzpdSkPM4Q6OQw,webext,20.0,20000000000,0,0,0
G4gRg/J1G7PiFEnemYuAxA,webext,20.0,20000000000,0,0,0
n+LVvMSG2agtbXWfHI+WKQ,webext,20.0,20000000000,0,0,0
QFVuFZDMub9KGpVgrk1hNA,webext,20.0,20000000000,0,0,0
sZmmId11yWTU7hDLr+dK0g,webext,20.0,20000000000,0,0,0
cGFfoCzt7bEmfviK3P7/8w,webext,20.0,20000000000,0,0,0
oS4eQRuPB3PVsN0MNQj9Kw,webext,20.0,20000000000,0,0,0
RJxj5LETpT5TcpY2ro+WDQ,webext,20.0,20000000000,0,0,0
e1kdIs70UZZnoGkUFRo7fQ,webext,20.0,20000000000,0,0,0
/4VRqMWPrTU7i6mD1C7fVQ,webext,20.0,20000000000,0,0,0
Z+JyCPcixQ0s3BSE4tuGuw,webext,20.0,20000000000,0,1,1
4DgU440h2+PkHoqDb0i+fA,webext,20.0,20000000000,0,0,0
WSw0SaaJxahPR4C/CoJv6g,webext,20.0,20000000000,0,0,0
QWRR3jvj/UA0XKBhODLjNQ,webext,20.0,20000000000,0,0,0
Dvg6bSZaRUfO9IyO1pNN5A,webext,20.0,20000000000,0,0,0
a/IrL6Hi5ik4l1hYe4xIEw,webext,20.0,20000000000,0,0,0
pIb9wFJR8qcKfzljOHNnXg,webext,20.0,20000000000,0,0,0
BgDjn/fYhaAKsxbEm25tLw,webext,20.0,20000000000,0,0,0
Y2EKBIy6rMIXX/8UtFroOQ,webext,20.0,20000000000,0,0,0
SjySkxgrUgeK9aXgKXyZcw,webext,20.0,20000000000,0,0,0
wpq3Xqki5toGhYaVpBCR3g,webext,20.0,20000000000,0,0,0
5BibPlDczqAVCp1CtkzaaQ,webext,20.0,20000000000,0,0,0
VlKoU8adXgqz1SKdiPOsxQ,webext,20.0,20000000000,0,0,0
A4eHFtYf0CY8RfNs6rb3lw,webext,20.0,20000000000,0,0,0
aUn3glluZuytyNlN9RjKjg,webext,20.0,20000000000,0,0,0
hV1XfBavNCvAXFOahhlJGA,webext,20.0,20000000000,0,0,0
RQp3jGwZxt6w4N2gMoId7g,webext,20.0,20000000000,0,0,0
QMyOCY8TEPuBI8MiKHU+kA,webext,20.0,20000000000,0,1,1
DTLGhSJ96qzHCCEsq+WjmQ,webext,20.0,20000000000,0,0,0
90jKrFACLABt7YxPJ3pI/w,webext,20.0,20000000000,0,0,0
CFn0oVoD7ZLk8Mm72FdIoA,webext,20.0,20000000000,0,0,0
y+d6ghVEiCYCUDM9LMv4Rw,webext,20.0,20000000000,0,0,0
m3HsbLKj5+tMDa+8yzkb3A,webext,20.0,20000000000,0,0,0
NAp91GV7iArLrz5XGe0nTQ,webext,20.0,20000000000,0,0,0
